Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\MessageBoxService.cs,98,4,T:System.Windows.Window,,,,,"public bool? ShowMessage(string message,          string title,          MessageBoxServiceButton button,          MessageBoxServiceIcon icon,          Window? owner)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\MessageBoxService.cs,126,8,M:System.Windows.Window.ShowDialog,,,,,"return new Views.MessageBoxWindow(                   message,                   title,                   b,                   i,                   owner).ShowDialog();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\MessageBoxService.cs,76,4,T:System.Windows.Window,,,,," bool? ShowMessage(string message,          string title,          MessageBoxServiceButton button,          MessageBoxServiceIcon icon,          Window? owner)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Commands\RelayAsync.cs,55,8,T:System.Windows.Input.CommandManager,,,,,CommandManager.InvalidateRequerySuggested();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Commands\RelayAsync.cs,55,8,M:System.Windows.Input.CommandManager.InvalidateRequerySuggested,,,,,CommandManager.InvalidateRequerySuggested();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Commands\RelayAsync.cs,46,12,E:System.Windows.Input.CommandManager.RequerySuggested,,,,,CommandManager.RequerySuggested -= value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Commands\RelayAsync.cs,41,12,E:System.Windows.Input.CommandManager.RequerySuggested,,,,,CommandManager.RequerySuggested += value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Commands\Relay.cs,42,12,E:System.Windows.Input.CommandManager.RequerySuggested,,,,,CommandManager.RequerySuggested -= value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Commands\Relay.cs,36,12,E:System.Windows.Input.CommandManager.RequerySuggested,,,,,CommandManager.RequerySuggested += value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,102,8,T:System.Windows.Media.Imaging.BitmapImage,,,,,set          {              if (thumbnail != value)              {                  thumbnail = value;                  NotifyPropertyChanged();              }          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,106,16,T:System.Windows.Media.Imaging.BitmapImage,,,,,thumbnail = value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,104,12,T:System.Windows.Media.Imaging.BitmapImage,,,,,if (thumbnail != value)              {                  thumbnail = value;                  NotifyPropertyChanged();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,100,8,T:System.Windows.Media.Imaging.BitmapImage,,,,,get => thumbnail;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,100,15,T:System.Windows.Media.Imaging.BitmapImage,,,,,thumbnail
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,98,4,T:System.Windows.Media.Imaging.BitmapImage,,,,,public BitmapImage? Thumbnail
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Models\Image.cs,17,25,T:System.Windows.Media.Imaging.BitmapImage,,,,,thumbnail
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,129,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""CurrentUICulture""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,126,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""CurrentUICulture""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,117,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""CurrentCulture""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,114,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""CurrentCulture""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,105,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OptionJpgQuality""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,102,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int)(this[""OptionJpgQuality""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,93,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OptionUseAllProcessors""] = value;"
